Secured Property Tax Payment History,,,,,,,,,,,,,,,
Parcel Number   :  061-052-020,,,,,,,,,,,,,,,
status ,done,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Roll,Payment,Payment,Inst #,Batch #,Seq #,Penalty,Fee,Tax,Payment,Payment,,,,,
Year,Date,Type,,,,Amount,Amount,Amount,Amount,Status,,,,,
,,,,,,,,,,,,,,,
2006  ,12/11/2006 ,WEB ECheck ,1 ,9004 ,0 ,0,0,32106.22,32106.22,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,64212.44,64212.44,,64212.44,,,,
,,,,,,,,,,,,,,,
2005  ,04/09/2006 ,WEB ECheck ,2 ,9004 ,0 ,0,0,30567.43,30567.43,Paid  ,,,,,
2005  ,04/09/2006 ,WEB ECheck ,1 ,9004 ,0 ,3056.74,0,30567.43,33624.17,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,61134.86,64191.6,,64191.6,,,,
,,,,,,,,,,,,,,,
2004  ,12/09/2004 ,Cash/Check ,2 ,1075 ,5 ,0,0,29874.85,29874.85,Paid  ,,,,,
2004  ,12/09/2004 ,Cash/Check ,1 ,1075 ,4 ,0,0,29874.85,29874.85,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,59749.7,59749.7,,,,,,
,,,,,,,,,,,,,,,
2003  ,11/05/2003 ,Cash/Check ,2 ,1038 ,93 ,0,0,29491.65,29491.65,Paid  ,,,,,
2003  ,11/05/2003 ,Cash/Check ,1 ,1038 ,92,0,0,29491.65,29491.65,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,58983.3,58983.3,,,,,,
