Interest Expense,-12131.28,-11604.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property tax,-10854.13,-10059.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Repairs and Maintenance,-2120.27,-1154.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travel,-1347.2,-814.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utilities,-1341.03,-467.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Other Income and Expense,-100437.6,-90500.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income  / (Loss) before Tax,-54711.08,-64284.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income,-54711.08,-64284.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Comprehensive Income,-54711.08,-64284.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Old Mission Creek, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 January 2022 to 31 December 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Number,Type,Cost,Rate,,Purchased,Disposed,,1-Jan-22,Purchases,Depreciation,Disposals,Accum Dep,31-Dec-22,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farm Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bradco pallet loader forks for Kubota,FA-0012,Farm equipment and machinery,899,0,SL,2018-06-28 00:00:00,,,254.72,0,179.8,0,824.08,=J59+K59-L59-M59,,,,,,,,,,,,,,,,,,,,,,,,
Farm machinery - initial and subsequent purchases,FA-0005,Farm equipment and machinery,58000,0,SL,2017-12-13 00:00:00,,,10633.33,0,10633.33,0,58000,=J60+K60-L60-M60,,,,,,,,,,,,,,,,,,,,,,,,
Flail mower PTO attachment,FA-0032,Farm equipment and machinery,2759,0,SL,2019-09-01 00:00:00,,,1471.47,0,551.8,0,1839.33,=J61+K61-L61-M61,,,,,,,,,,,,,,,,,,,,,,,,
grapple attachment for Kubota tractor,FA-0031,Farm equipment and machinery,3850,0,SL,2019-11-01 00:00:00,,,2181.67,0,770,0,2438.33,=J62+K62-L62-M62,,,,,,,,,,,,,,,,,,,,,,,,
Misc farm tools 2019 Amazon purchase,FA-0034,Farm equipment and machinery,615.84,0,SL,2019-10-01 00:00:00,,,338.71,0,123.17,0,400.3,=J63+K63-L63-M63,,,,,,,,,,,,,,,,,,,,,,,,
Mulcher PTO attachment,FA-0047,Farm equipment and machinery,3842.5,0,SL,2022-08-17 00:00:00,,,0,3842.5,256.17,0,256.17,=J64+K64-L64-M64,,,,,,,,,,,,,,,,,,,,,,,,
Netting for new grapes,FA-0039,Farm equipment and machinery,13996,0,SL,2021-06-02 00:00:00,,,12363.13,0,2799.2,0,4432.07,=J65+K65-L65-M65,,,,,,,,,,,,,,,,,,,,,,,,
Stihl MS462 chainsaw (with tax),FA-0033,Farm equipment and machinery,1165.95,0,SL,2019-08-01 00:00:00,,,602.41,0,233.19,0,796.73,=J66+K66-L66-M66,,,,,,,,,,,,,,,,,,,,,,,,
Total Farm Equipment,,,=SUM(D59:D66),,,,,,=SUM(J59:J66),=SUM(K59:K66),=SUM(L59:L66),=SUM(M59:M66),=SUM(N59:N66),=SUM(O59:O66),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP&E - Structures and improvements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50% deposit on irrigation system,FA-0011,Wells and Improvements,12307.78,0,SL,2018-12-18 00:00:00,,,10119.73,0,820.52,0,3008.57,=J70+K70-L70-M70,,,,,,,,,,,,,,,,,,,,,,,,
Final 50% cost on irrigation system,FA-0022,Wells and Improvements,12880.15,0,SL,2019-05-28 00:00:00,,,10590.34,0,858.68,0,3148.49,=J71+K71-L71-M71,,,,,,,,,,,,,,,,,,,,,,,,
new trellis material for 2019 new vines,FA-0021,Wells and Improvements,45574.35,0,SL,2019-04-30 00:00:00,,,42536.06,0,3038.29,0,6076.58,=J72+K72-L72-M72,,,,,,,,,,,,,,,,,,,,,,,,
Structures for farm,FA-0001,"Farm bldgs, barns, structures and improvements",98000,0,SL,2017-12-13 00:00:00,,,77991.67,0,4900,0,24908.33,=J73+K73-L73-M73,,,,,,,,,,,,,,,,,,,,,,,,
Structures for farm,FA-0042,"Farm bldgs, barns, structures and improvements",15000,0,SL,2022-12-01 00:00:00,,,0,15000,62.5,0,62.5,=J74+K74-L74-M74,,,,,,,,,,,,,,,,,,,,,,,,
Well installation and upgrade,FA-0019,Wells and Improvements,12207,0,SL,2019-05-28 00:00:00,,,10036.87,0,813.8,0,2983.93,=J75+K75-L75-M75,,,,,,,,,,,,,,,,,,,,,,,,
Wells and other improvements to farm,FA-0044,Wells and Improvements,30000,0,SL,2022-12-01 00:00:00,,,0,30000,166.67,0,166.67,=J76+K76-L76-M76,,,,,,,,,,,,,,,,,,,,,,,,
Wells and other improvements to farm,FA-0002,Wells and Improvements,85000,0,SL,2017-12-13 00:00:00,,,61861.1,0,5666.67,0,28805.57,=J77+K77-L77-M77,,,,,,,,,,,,,,,,,,,,,,,,
wooden posts for trellis new 2019 vines,FA-0016,Wells and Improvements,6001.8,0,SL,2019-05-11 00:00:00,,,5601.68,0,400.12,0,800.24,=J78+K78-L78-M78,,,,,,,,,,,,,,,,,,,,,,,,
Total PP&E - Structures and improvements,,,=SUM(D70:D78),,,,,,=SUM(J70:J78),=SUM(K70:K78),=SUM(L70:L78),=SUM(M70:M78),=SUM(N70:N78),=SUM(O70:O78),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producing Vineyard Acreage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019 new vines - acreage prep work - Agrivine,FA-0008,New grape Root Stock,8049.8,0,SL,2018-05-31 00:00:00,,,7244.82,0,804.98,0,1609.96,=J82+K82-L82-M82,,,,,,,,,,,,,,,,,,,,,,,,
2019 new vines - acreage prep work - Agrivine,FA-0010,New grape Root Stock,6717.5,0,SL,2018-10-05 00:00:00,,,6045.75,0,671.75,0,1343.5,=J83+K83-L83-M83,,,,,,,,,,,,,,,,,,,,,,,,
2019 new vines - labor and material costs for weeding- Agrivine,FA-0025,New grape Root Stock,8760.94,0,SL,2019-08-20 00:00:00,,,7884.85,0,876.09,0,1752.18,=J84+K84-L84-M84,,,,,,,,,,,,,,,,,,,,,,,,
2019 new vines - labor and material costs for weeding- Agrivine,FA-0023,New grape Root Stock,9523.61,0,SL,2019-08-01 00:00:00,,,8571.25,0,952.36,0,1904.72,=J85+K85-L85-M85,,,,,,,,,,,,,,,,,,,,,,,,
2019 new vines - labor and material costs to plant - Agrivine,FA-0020,New grape Root Stock,25309.49,0,SL,2019-05-31 00:00:00,,,22778.54,0,2530.95,0,5061.9,=J86+K86-L86-M86,,,,,,,,,,,,,,,,,,,,,,,,
2019 new vines - new grape root stock,FA-0009,New grape Root Stock,32281.8,0,SL,2018-12-18 00:00:00,,,29053.62,0,3228.18,0,6456.36,=J87+K87-L87-M87,,,,,,,,,,,,,,,,,,,,,,,,
2019 new vines - new grape root stock,FA-0006,New grape Root Stock,16140.9,0,SL,2018-03-16 00:00:00,,,14526.81,0,1614.09,0,3228.18,=J88+K88-L88-M88,,,,,,,,,,,,,,,,,,,,,,,,
2019 new vines - trellis installation,FA-0029,New grape Root Stock,63092.58,0,SL,2019-10-15 00:00:00,,,56783.32,0,6309.26,0,12618.52,=J89+K89-L89-M89,,,,,,,,,,,,,,,,,,,,,,,,
Capex - last batch of labor for new trellis and grapes planting 2019,FA-0030,New grape Root Stock,21250.64,0,SL,2019-11-23 00:00:00,,,19125.58,0,2125.06,0,4250.12,=J90+K90-L90-M90,,,,,,,,,,,,,,,,,,,,,,,,
"Capex - new vines - 2021 labor, pruning and replants",FA-0040,New grape Root Stock,1251.61,0,SL,2020-09-10 00:00:00,,,1126.45,0,125.16,0,250.32,=J91+K91-L91-M91,,,,,,,,,,,,,,,,,,,,,,,,
"Capex - new vines - August 2020 labor, pruning and spraying, and replanting - invoice #4970",FA-0038,New grape Root Stock,13086.9,0,SL,2020-09-10 00:00:00,,,11778.21,0,1308.69,0,2617.38,=J92+K92-L92-M92,,,,,,,,,,,,,,,,,,,,,,,,
"Capex - new vines - June 2020 labor, pruning and spraying, and replanting",FA-0035,New grape Root Stock,7180.1,0,SL,2020-06-03 00:00:00,,,6462.09,0,718.01,0,1436.02,=J93+K93-L93-M93,,,,,,,,,,,,,,,,,,,,,,,,
"Capex - new vines - June 2020 labor, pruning and spraying, and replanting - invoice #4908",FA-0037,New grape Root Stock,3726.23,0,SL,2020-08-29 00:00:00,,,3353.61,0,372.62,0,745.24,=J94+K94-L94-M94,,,,,,,,,,,,,,,,,,,,,,,,
"Capex - new vines - June 2020 labor, pruning and spraying, and replanting - invoice #4908",FA-0036,New grape Root Stock,8890.07,0,SL,2020-06-30 00:00:00,,,8001.06,0,889.01,0,1778.02,=J95+K95-L95-M95,,,,,,,,,,,,,,,,,,,,,,,,
Established vines - fruit producing,FA-0043,initially purchased grape producing acres,640850,0,SL,2022-12-01 00:00:00,,,0,640850,5340.42,0,5340.42,=J96+K96-L96-M96,,,,,,,,,,,,,,,,,,,,,,,,
Established vines - fruit producing,FA-0003,initially purchased grape producing acres,138500,0,SL,2017-12-13 00:00:00,,,81945.83,0,13850,0,70404.17,=J97+K97-L97-M97,,,,,,,,,,,,,,,,,,,,,,,,
new acreage 2019 labor costs,FA-0027,New grape Root Stock,8135.23,0,SL,2019-09-12 00:00:00,,,7321.71,0,813.52,0,1627.04,=J98+K98-L98-M98,,,,,,,,,,,,,,,,,,,,,,,,
new grape root stock,FA-0017,New grape Root Stock,16140.91,0,SL,2019-01-01 00:00:00,,,14526.82,0,1614.09,0,3228.18,=J99+K99-L99-M99,,,,,,,,,,,,,,,,,,,,,,,,
Total Producing Vineyard Acreage,,,=SUM(D82:D99),,,,,,=SUM(J82:J99),=SUM(K82:K99),=SUM(L82:L99),=SUM(M82:M99),=SUM(N82:N99),=SUM(O82:O99),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw farm land value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw unimproved farm land,FA-0004,Value of raw unimproved farm land at purchase,396710,0,None,2017-12-13 00:00:00,,,396710,0,0,0,0,=J103+K103-L103-M103,,,,,,,,,,,,,,,,,,,,,,,,
