Secured Property Tax Payment History,,,,,,,,,,,,,,,
Parcel Number   :  061-052-020,,,,,,,,,,,,,,,
status ,done,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Roll,Payment,Payment,Inst #,Batch #,Seq #,Penalty,Fee,Tax,Payment,Payment,,,,,
Year,Date,Type,,,,Amount,Amount,Amount,Amount,Status,,,,,
,,,,,,,,,,,,,,,
2006  ,12/11/2006 ,WEB ECheck ,1 ,9004 ,0 ,0,0,32106.22,=I78,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I77+I78,=J77+J78,,=J79,,,,
,,,,,,,,,,,,,,,
2005  ,04/09/2006 ,WEB ECheck ,2 ,9004 ,0 ,0,0,30567.43,=I81,Paid  ,,,,,
2005  ,04/09/2006 ,WEB ECheck ,1 ,9004 ,0 ,3056.74,0,30567.43,33624.17,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I81+I82,=J81+J82,,=J83,,,,
,,,,,,,,,,,,,,,
2004  ,12/09/2004 ,Cash/Check ,2 ,1075 ,5 ,0,0,29874.85,=I85,Paid  ,,,,,
2004  ,12/09/2004 ,Cash/Check ,1 ,1075 ,4 ,0,0,29874.85,=I86,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I85+I86,=J85+J86,,,,,,
,,,,,,,,,,,,,,,
2003  ,11/05/2003 ,Cash/Check ,2 ,1038 ,93 ,0,0,29491.65,=I89,Paid  ,,,,,
2003  ,11/05/2003 ,Cash/Check ,1 ,1038 ,92,0,0,29491.65,=I90,Paid  ,,,,,
Full Year Total - net tax and with penalties,,,,,,,,=I89+I90,=J89+J90,,,,,,
